"";"COUNTRY_ISO_3";"TIME_PERIOD";"RAW_OBS_VALUE";"_merge";"INDICATOR_NAME";"INDICATOR_INDEX";"INDICATOR_ISSUE";"INDICATOR_CATEGORY";"INDICATOR_CODE";"ATTR_SOURCE";"ATTR_SOURCE_BODY";"ATTR_INDICATOR_DESCRIPTION";"ATTR_INDICATOR_EXPLANATION";"ATTR_UNIT_MEASURE";"ATTR_DATA_EXTRACTION_METHDOLOGY";"ATTR_SOURCE_TITLE";"ATTR_API_ENDPOINT_URL";"CRBA_RELEASE_YEAR";"SCALED_OBS_VALUE";"OBS_STATUS";"SOURCE_ID"
"10";"AZE";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"11";"BHS";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"12";"BHR";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"13";"BGD";"2020.0";"1.6";"both";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"0.08";"";"S-248"
"14";"BRB";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"15";"BLR";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"16";"BEL";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"17";"BLZ";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"18";"BEN";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"19";"BTN";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"20";"BOL";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"21";"BIH";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"22";"BWA";"2020.0";"34.5";"both";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"5.24";"";"S-248"
"23";"BRA";"2020.0";"64.8";"both";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"10.0";"";"S-248"
"24";"BRN";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"25";"BGR";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"26";"BFA";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"27";"BDI";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"28";"CPV";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"29";"KHM";"2020.0";"1.3";"both";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"0.03";"";"S-248"
"30";"CMR";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"31";"CAN";"2020.0";"31.3";"both";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"4.74";"";"S-248"
"32";"CAF";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"33";"TCD";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"34";"CHL";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"35";"CHN";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"36";"COL";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"37";"COM";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"38";"COG";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"39";"COD";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"40";"CRI";"2020.0";"11.8";"both";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"1.68";"";"S-248"
"41";"CIV";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"42";"HRV";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"43";"CUB";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"44";"CYP";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
"45";"CZE";"2023.0";"";"right_only";"Collective bargaining coverage";"Workplace";"Decent working conditions";"Enforcement";"WP_DW_EN_COBACO";"https://www.ilo.org/shinyapps/bulkexplorer28/";"ILO";"Rate of collective bargaining coverage in a country";"";"PCNT";"Indicator has been researched and identified through the primary source manually, but the actual data and transformation has been done programmatically through the API of the source body.";"ILO Stats Collective bargaining coverage in a country";"https://www.ilo.org/sdmx/rest/data/ILO,DF_ILR_CBCT_NOC_RT/?format=csv&startPeriod=2020-01-01&endPeriod=2022-12-31";"2023";"";"O";"S-248"
