DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,REF_PERIOD:Reference Period,UNIT_MEASURE:Unit of measure,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1984-06,58.73816463,,D_PER_1000_B: Deaths per 1000 live births,49.25614633,69.41239044,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1985-06,54.63215062,,D_PER_1000_B: Deaths per 1000 live births,46.77279246,63.5340754,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1986-06,51.01057457,,D_PER_1000_B: Deaths per 1000 live births,44.28278699,58.4315153,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1987-06,47.87151547,,D_PER_1000_B: Deaths per 1000 live births,41.92246974,54.42787656,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1988-06,45.10280689,,D_PER_1000_B: Deaths per 1000 live births,39.78241803,50.95856512,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1989-06,42.71148273,,D_PER_1000_B: Deaths per 1000 live births,37.87704903,48.1242924,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1990-06,40.67910651,,D_PER_1000_B: Deaths per 1000 live births,36.15357995,45.81348151,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1991-06,38.91842554,,D_PER_1000_B: Deaths per 1000 live births,34.61198677,43.82851153,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1992-06,37.36313595,,D_PER_1000_B: Deaths per 1000 live births,33.20079114,41.9723347,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1993-06,35.90799984,,D_PER_1000_B: Deaths per 1000 live births,31.86992499,40.32620244,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1994-06,34.52901847,,D_PER_1000_B: Deaths per 1000 live births,30.58907888,38.82916828,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1995-06,33.16105409,,D_PER_1000_B: Deaths per 1000 live births,29.26234711,37.34974733,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1996-06,31.73936159,,D_PER_1000_B: Deaths per 1000 live births,27.92395795,35.81172522,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1997-06,30.28112881,,D_PER_1000_B: Deaths per 1000 live births,26.60543314,34.29570291,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1998-06,28.80342237,,D_PER_1000_B: Deaths per 1000 live births,25.29109894,32.69761615,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,1999-06,27.36237382,,D_PER_1000_B: Deaths per 1000 live births,23.95538607,31.14505959,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2000-06,25.93049493,,D_PER_1000_B: Deaths per 1000 live births,22.68555985,29.54055931,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2001-06,24.50879278,,D_PER_1000_B: Deaths per 1000 live births,21.42301834,27.9882904,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2002-06,23.12463777,,D_PER_1000_B: Deaths per 1000 live births,20.21491683,26.44193,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2003-06,21.76940946,,D_PER_1000_B: Deaths per 1000 live births,19.06089884,24.85806554,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2004-06,20.45022932,,D_PER_1000_B: Deaths per 1000 live births,17.96861373,23.2405305,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2005-06,19.16764992,,D_PER_1000_B: Deaths per 1000 live births,16.96518158,21.60832184,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2006-06,17.90686174,,D_PER_1000_B: Deaths per 1000 live births,15.98486394,20.03876283,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2007-06,16.68038777,,D_PER_1000_B: Deaths per 1000 live births,15.06360362,18.48367348,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2008-06,15.50699476,,D_PER_1000_B: Deaths per 1000 live births,14.17665493,16.95844304,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2009-06,14.38415628,,D_PER_1000_B: Deaths per 1000 live births,13.33013593,15.48992854,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2010-06,13.30465454,,D_PER_1000_B: Deaths per 1000 live births,12.4978346,14.12539179,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2011-06,12.30436107,,D_PER_1000_B: Deaths per 1000 live births,11.7028666,12.91988271,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2012-06,11.41332098,,D_PER_1000_B: Deaths per 1000 live births,10.94365314,11.903001,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2013-06,10.65373249,,D_PER_1000_B: Deaths per 1000 live births,10.26332662,11.06688793,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2014-06,10.04741012,,D_PER_1000_B: Deaths per 1000 live births,9.678859297,10.42597335,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2015-06,9.595161401,,D_PER_1000_B: Deaths per 1000 live births,9.231959305,9.971921676,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2016-06,9.268774275,,D_PER_1000_B: Deaths per 1000 live births,8.880924678,9.671817716,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2017-06,9.022223489,,D_PER_1000_B: Deaths per 1000 live births,8.573231244,9.498783841,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2018-06,8.823328649,,D_PER_1000_B: Deaths per 1000 live births,8.24923112,9.433766159,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARM: Armenia,CME_MRY0T4: Under-five mortality rate,F: Female,1976-06,78.88230643,,D_PER_1000_B: Deaths per 1000 live births,65.60367564,94.39221826,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARM: Armenia,CME_MRY0T4: Under-five mortality rate,F: Female,1977-06,75.5799986,,D_PER_1000_B: Deaths per 1000 live births,63.94505823,89.34691865,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARM: Armenia,CME_MRY0T4: Under-five mortality rate,F: Female,1978-06,72.42075972,,D_PER_1000_B: Deaths per 1000 live births,62.10349496,84.61997614,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARM: Armenia,CME_MRY0T4: Under-five mortality rate,F: Female,1979-06,69.45581613,,D_PER_1000_B: Deaths per 1000 live births,60.21423116,80.22353867,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARM: Armenia,CME_MRY0T4: Under-five mortality rate,F: Female,1980-06,66.60978042,,D_PER_1000_B: Deaths per 1000 live births,58.31359528,76.23800418,A: Normal value
