DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,AGE_AT_BIRTH:Age at Birth,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,MOTHER_EDUCATION:Mother's Education Level,DATA_SOURCE:Data Source,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SERIES_FOOTNOTE:Series footnote,SUB_SECTOR:Sub Sector,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,OBS_FOOTNOTE:Observation footnote,SOURCE_LINK:Citation of or link to the data source,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,82.4,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,83.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,81.9,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ALB: Albania,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_147: Demographic and Health Survey 2017-2018,2018,88.7,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_111: Demographic and Health Survey 2000,2000,24.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_111: Demographic and Health Survey 2000,2000,28.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_111: Demographic and Health Survey 2000,2000,26.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_111: Demographic and Health Survey 2000,2000,29.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_111: Demographic and Health Survey 2000,2000,24.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_121: Demographic and Health Survey 2005,2005,46.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_121: Demographic and Health Survey 2005,2005,30.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_121: Demographic and Health Survey 2005,2005,36.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_121: Demographic and Health Survey 2005,2005,24.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_121: Demographic and Health Survey 2005,2005,52.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",ARM: Armenia,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_131: Demographic and Health Survey 2010,2010,57.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AZE: Azerbaijan,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,38.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AZE: Azerbaijan,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,29.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AZE: Azerbaijan,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,36.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AZE: Azerbaijan,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,42.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AZE: Azerbaijan,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,30.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",AZE: Azerbaijan,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_494: Multiple Indicator Cluster Survey 2000,2000,35.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,78.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,94.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,90.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,89.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,90.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,93.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,95.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,79.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,93.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,MNCH_SRC_498: Multiple Indicator Cluster Survey 2005,2005,81.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_511: Multiple Indicator Cluster Survey 2012,2012,96.1,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_511: Multiple Indicator Cluster Survey 2012,2012,93.4,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_511: Multiple Indicator Cluster Survey 2012,2012,94.7,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BLR: Belarus,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_511: Multiple Indicator Cluster Survey 2012,2012,92.4,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_35: BiH Agency for Statistics 2009,2000,80.0,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,89.7,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,95.2,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,91.3,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,90.7,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,91.6,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,96.7,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
"UNICEF:MNCH(1.0): Maternal, child and newborn health",BIH: Bosnia and Herzegovina,MNCH_PNEUCARE: Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,MNCH_SRC_500: Multiple Indicator Cluster Survey 2006,2006,86.4,0: Units,PCNT: %,,PNEU,RP: Reported,F: Free,,,,,,,,
