DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,RESIDENCE:Residence,SEX:Sex,AGE:Current age,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MEASURE:Unit of measure,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:DM(1.0): Demography,ROU: Romania,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.619,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,RUS: Russian Federation,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.824,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,SRB: Serbia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.451,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,SVK: Slovakia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.505,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,SVN: Slovenia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.608,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,TJK: Tajikistan,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,3.585,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,TUR: Turkey,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,2.069,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,TKM: Turkmenistan,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,2.786,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,UKR: Ukraine,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.446,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,MKD: North Macedonia,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,1.496,PCNT: %,0: Units,,,,,UNPD2019,,,,
UNICEF:DM(1.0): Demography,UZB: Uzbekistan,DM_FRATE_TOT: Total fertility rate,_T: Total,_T: Total,_T: Total,2018,2.414,PCNT: %,0: Units,,,,,UNPD2019,,,,
