Geographic area,Indicator,Sex,Current age,Age at Birth,Wealth Quintile,Residence,Mother's Education Level,Data Source,Unit multiplier,Unit of measure,SERIES_FOOTNOTE,SUB_SECTOR,TIME_PERIOD,OBS_VALUE,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,UNWGTD_SAMPL_SIZE,OBS_FOOTNOTE,SOURCE_LINK,TIME_PERIOD_METHOD,COVERAGE_TIME
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2010,21,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2011,22,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2012,17,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2013,16,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2014,16,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2015,15,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2016,16,Modelled,Free,,,,,,,,
Albania,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2017,15,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2000,47,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2001,44,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2002,43,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2003,44,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2004,39,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2005,42,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2006,35,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2007,34,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2008,32,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2009,32,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2010,31,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2011,30,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2012,29,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2013,28,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2014,28,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2015,27,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2016,26,Modelled,Free,,,,,,,,
Azerbaijan,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2017,26,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2000,43,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2001,42,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2002,39,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2003,38,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2004,36,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2005,35,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2006,36,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2007,32,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2008,36,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2009,32,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2010,32,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2011,30,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2012,30,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2013,26,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2014,27,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2015,28,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2016,26,Modelled,Free,,,,,,,,
Armenia,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2017,26,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2000,17,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2001,16,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2002,14,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2003,14,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2004,14,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2005,13,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2006,13,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2007,13,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2008,11,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2009,11,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2010,11,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2011,10,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2012,10,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2013,10,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2014,10,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2015,10,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2016,10,Modelled,Free,,,,,,,,
Bosnia and Herzegovina,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2017,10,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2000,19,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2001,18,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2002,17,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2003,16,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2004,16,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2005,15,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2006,14,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2007,13,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2008,13,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2009,12,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2010,12,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2011,12,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2012,11,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2013,10,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2014,11,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2015,10,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2016,10,Modelled,Free,,,,,,,,
Bulgaria,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)",Female,15 to 49 years old,Total,Total,Total,Total,"WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - September 2019",Units,Per 100000 live births,,MATERNAL_MORTALITY,2017,10,Modelled,Free,,,,,,,,
