DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,NUMBER_CHLD:Number of Living Children,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2018,96.6,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2018,99.2,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2018,99.6,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2018,98.5,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2018,98.4,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11A_01: Never attended an education programme / No schooling,_T: Total,_T: Total,_T: Total,2018,96.4,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11_1: Primary education,_T: Total,_T: Total,_T: Total,2018,98,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ALB: Albania,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,AGG_3S_H: Secondary and Higher,_T: Total,_T: Total,_T: Total,2018,98.9,,PCNT: %,,,RP: Reported,F: Free,DHS 2017-18,,,,,End of fieldwork,2017-18,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,98.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,98.9,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,98.5,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2016,99.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2016,99.3,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2016,98.9,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2016,98.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,2016,98.1,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,2016,97.4,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2016,99.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2016,99.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2016,98.8,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2016,99.1,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2016,98.1,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11_1: Primary education,_T: Total,_T: Total,_T: Total,2016,100,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,ARM: Armenia,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,AGG_3S_H: Secondary and Higher,_T: Total,_T: Total,_T: Total,2016,99.3,,PCNT: %,,,RP: Reported,F: Free,DHS 2015-16,,,,,End of fieldwork,2015-16,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2006,93.6,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2006,93.4,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2006,93.9,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,87.9,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,92.5,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,98,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,95.4,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,95.6,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,2006,91.6,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,2006,91.8,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2006,95,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2006,93.9,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2006,97,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2006,95.5,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2006,91.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11A_01: Never attended an education programme / No schooling,_T: Total,_T: Total,_T: Total,2006,94.8,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11_1: Primary education,_T: Total,_T: Total,_T: Total,2006,92.7,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,AZE: Azerbaijan,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,AGG_3S_H: Secondary and Higher,_T: Total,_T: Total,_T: Total,2006,93.5,,PCNT: %,,,RP: Reported,F: Free,DHS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BLR: Belarus,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RA: Reanalysed,F: Free,Vital registration data 2012,,,,,,2012,0: Not Known,Includes some children born in 2012 but registered in Jan 2013
UNICEF:PT(1.0): Child Protection,BLR: Belarus,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RA: Reanalysed,F: Free,Vital registration data 2012,,,,,,2012,0: Not Known,Includes some children born in 2012 but registered in Jan 2013
UNICEF:PT(1.0): Child Protection,BLR: Belarus,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RA: Reanalysed,F: Free,Vital registration data 2012,,,,,,2012,0: Not Known,Includes some children born in 2012 but registered in Jan 2013
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2006,99.5,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,M: Male,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2006,99.7,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,F: Female,Y0T4: Under 5 years old,_T: Total,_T: Total,_T: Total,_T: Total,2006,99.4,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0T11: 0 to 11 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,98.1,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M12T23: 12 to 23 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,99.7,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M24T35: 24 to 35 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,100,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M36T47: 36 to 47 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,99.7,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M48T59: 48 to 59 months old,_T: Total,_T: Total,_T: Total,_T: Total,2006,100,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q1: Lowest,_T: Total,_T: Total,2006,99.7,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q2: Second,_T: Total,_T: Total,2006,99.6,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q3: Middle,_T: Total,_T: Total,2006,99.7,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q4: Fourth,_T: Total,_T: Total,2006,99.7,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,Q5: Highest,_T: Total,_T: Total,2006,98.9,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,U: Urban,_T: Total,2006,99.1,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,_T: Total,_T: Total,R: Rural,_T: Total,2006,99.8,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11A_01: Never attended an education programme / No schooling,_T: Total,_T: Total,_T: Total,2006,100,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,ISCED11_1: Primary education,_T: Total,_T: Total,_T: Total,2006,99.5,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BIH: Bosnia and Herzegovina,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,Y0T4: Under 5 years old,AGG_3S_H: Secondary and Higher,_T: Total,_T: Total,_T: Total,2006,99.6,,PCNT: %,,,RA: Reanalysed,F: Free,MICS 2006,,,,,End of fieldwork,2006,0: Not Known,
UNICEF:PT(1.0): Child Protection,BGR: Bulgaria,PT_CHLD_Y0T4_REG: Percentage of children under age 5 whose births are registered,_T: Total,M0: Under 1 month old,_T: Total,_T: Total,_T: Total,_T: Total,2012,100,,PCNT: %,,,RP: Reported,F: Free,Vital registration,,,,,,2012,0: Not Known,
